fpr,tpr,threshold
0.0,0.0,inf
0.0,0.0007132667617689016,0.9486435200564265
0.0,0.005706134094151213,0.8923118173159322
0.005050505050505051,0.005706134094151213,0.8915111486773334
0.005050505050505051,0.010699001426533523,0.8801343550722979
0.010101010101010102,0.010699001426533523,0.8759819247987002
0.010101010101010102,0.01925820256776034,0.8603607531648738
0.015151515151515152,0.01925820256776034,0.858627710085417
0.015151515151515152,0.03495007132667618,0.8401028296607191
0.020202020202020204,0.03495007132667618,0.8398356325836672
0.020202020202020204,0.05848787446504993,0.8086934306654375
0.025252525252525252,0.05848787446504993,0.8086084648594186
0.025252525252525252,0.0920114122681883,0.7832741072253643
0.030303030303030304,0.0920114122681883,0.7832451136099079
0.030303030303030304,0.09914407988587731,0.779784555032529
0.03535353535353535,0.09914407988587731,0.779618430685013
0.03535353535353535,0.11269614835948645,0.7750037030847419
0.04040404040404041,0.11269614835948645,0.7748993322075661
0.04040404040404041,0.12838801711840228,0.7639361584097327
0.045454545454545456,0.12838801711840228,0.7637860917089724
0.045454545454545456,0.14265335235378032,0.756375910409933
0.050505050505050504,0.14265335235378032,0.7557590842464784
0.050505050505050504,0.15905848787446505,0.7434481220786159
0.05555555555555555,0.15905848787446505,0.7422397838119746
0.05555555555555555,0.16048502139800286,0.739872511144054
0.06060606060606061,0.16048502139800286,0.739854856476988
0.06060606060606061,0.16191155492154066,0.738652048082262
0.06565656565656566,0.16191155492154066,0.7384040789716437
0.06565656565656566,0.19828815977175462,0.7188550918856661
0.0707070707070707,0.19828815977175462,0.7186165366449476
0.0707070707070707,0.21112696148359486,0.7131246158740234
0.07575757575757576,0.21112696148359486,0.7130637201150284
0.07575757575757576,0.21897289586305277,0.7103325833662286
0.08080808080808081,0.21897289586305277,0.7103072656551381
0.08080808080808081,0.2225392296718973,0.7093857599436774
0.08585858585858586,0.2225392296718973,0.709337922427669
0.08585858585858586,0.2275320970042796,0.7074390652973038
0.09090909090909091,0.2275320970042796,0.7073996383195938
0.09090909090909091,0.25962910128388017,0.691318516242948
0.09595959595959595,0.25962910128388017,0.6909229327334487
0.09595959595959595,0.2717546362339515,0.6846783592984773
0.10101010101010101,0.2717546362339515,0.6845588178750106
0.10101010101010101,0.28744650499286734,0.6777642553222505
0.10606060606060606,0.28744650499286734,0.6777367008519434
0.10606060606060606,0.3067047075606277,0.6725496996187694
0.1111111111111111,0.3067047075606277,0.6723969708119539
0.1111111111111111,0.3181169757489301,0.6674927898423568
0.11616161616161616,0.3181169757489301,0.6669778931848027
0.11616161616161616,0.32952924393723254,0.6624544359483244
0.12121212121212122,0.32952924393723254,0.6621436076331089
0.12121212121212122,0.37660485021398005,0.642514905632567
0.12626262626262627,0.37660485021398005,0.6424140770006874
0.12626262626262627,0.37874465049928674,0.6418826844537384
0.13131313131313133,0.37874465049928674,0.6415144971613482
0.13131313131313133,0.38730385164051356,0.6380764182966289
0.13636363636363635,0.38730385164051356,0.6378204076778919
0.13636363636363635,0.3958630527817404,0.6338318546147711
0.1414141414141414,0.3958630527817404,0.6337181387819704
