model,mean_auc_roc,std_auc_roc,auc_roc_fold_1,auc_roc_fold_2,auc_roc_fold_3,auc_roc_fold_4,auc_roc_fold_5,mean_accuracy,std_accuracy,accuracy_fold_1,accuracy_fold_2,accuracy_fold_3,accuracy_fold_4,accuracy_fold_5,mean_f1,std_f1,f1_fold_1,f1_fold_2,f1_fold_3,f1_fold_4,f1_fold_5,mean_precision,std_precision,precision_fold_1,precision_fold_2,precision_fold_3,precision_fold_4,precision_fold_5,mean_recall,std_recall,recall_fold_1,recall_fold_2,recall_fold_3,recall_fold_4,recall_fold_5
RandomForest,0.800628,0.035198,0.774955,0.766201,0.776185,0.833438,0.85236,0.889844,0.001712,0.892188,0.888281,0.8875,0.890625,0.890625,0.940792,0.000876,0.941968,0.940042,0.939547,0.941226,0.941176,0.889474,0.001503,0.89172,0.887569,0.888095,0.889683,0.890302,0.998396,0.000667,0.998217,0.999109,0.997326,0.999109,0.998217
SVM,0.785551,0.035045,0.763251,0.750485,0.765168,0.802336,0.846516,0.833906,0.011885,0.821875,0.824219,0.835156,0.832812,0.855469,0.901518,0.00695,0.89415,0.895882,0.90272,0.900926,0.913913,0.938684,0.008957,0.93314,0.931665,0.935053,0.93738,0.956183,0.867201,0.006201,0.858289,0.862745,0.872549,0.867201,0.875223
MLP,0.774151,0.03607,0.754614,0.740078,0.756904,0.776755,0.842404,0.89,0.008478,0.888281,0.879688,0.889844,0.886719,0.905469,0.939888,0.004646,0.93881,0.934075,0.939198,0.938999,0.948357,0.902098,0.007713,0.902881,0.898682,0.909774,0.889243,0.90991,0.981105,0.009639,0.977718,0.972371,0.970588,0.994652,0.990196
AdaBoost,0.829424,0.042594,0.811808,0.771089,0.812112,0.857223,0.894887,0.896719,0.001344,0.899219,0.896094,0.895312,0.896875,0.896094,0.9443,0.000691,0.945547,0.943953,0.943508,0.944444,0.944047,0.89548,0.001411,0.898156,0.895284,0.8952,0.894737,0.894024,0.998752,0.00107,0.998217,0.998217,0.997326,1.0,1.0
Stacking,0.816223,0.039049,0.79348,0.770336,0.79559,0.843662,0.878049,0.821562,0.0059,0.821875,0.821875,0.814844,0.817188,0.832031,0.891548,0.003511,0.892148,0.892958,0.887411,0.888145,0.89708,0.954184,0.008668,0.950605,0.943452,0.950153,0.957732,0.968976,0.83672,0.006774,0.840463,0.847594,0.832442,0.827986,0.835116
