mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__estimator__max_depth,param_classifier__estimator__min_samples_split,param_classifier__learning_rate,param_classifier__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
3.178633,0.218468,0.062518,0.008398,1,10,0.2,150,"{'classifier__estimator__max_depth': 1, 'classifier__estimator__min_samples_split': 10, 'classifier__learning_rate': 0.2, 'classifier__n_estimators': 150}",0.888281,0.886719,0.889844,0.8875,0.883594,0.887188,0.002073,67
4.523509,0.345966,0.084421,0.012653,1,10,0.2,200,"{'classifier__estimator__max_depth': 1, 'classifier__estimator__min_samples_split': 10, 'classifier__learning_rate': 0.2, 'classifier__n_estimators': 200}",0.889062,0.886719,0.889844,0.89375,0.883594,0.888594,0.003373,64
2.581786,0.153947,0.071695,0.023345,1,10,0.5,100,"{'classifier__estimator__max_depth': 1, 'classifier__estimator__min_samples_split': 10, 'classifier__learning_rate': 0.5, 'classifier__n_estimators': 100}",0.896875,0.895312,0.895312,0.896094,0.8875,0.894219,0.003409,61
3.989912,0.235216,0.064435,0.008758,1,10,0.5,150,"{'classifier__estimator__max_depth': 1, 'classifier__estimator__min_samples_split': 10, 'classifier__learning_rate': 0.5, 'classifier__n_estimators': 150}",0.898438,0.896875,0.896875,0.896875,0.889062,0.895625,0.003337,58
4.373941,0.488321,0.071755,0.005863,1,10,0.5,200,"{'classifier__estimator__max_depth': 1, 'classifier__estimator__min_samples_split': 10, 'classifier__learning_rate': 0.5, 'classifier__n_estimators': 200}",0.899219,0.896094,0.895312,0.896875,0.896094,0.896719,0.001344,52
4.892444,0.059624,0.043263,0.001402,3,2,0.1,100,"{'classifier__estimator__max_depth': 3, 'classifier__estimator__min_samples_split': 2, 'classifier__learning_rate': 0.1, 'classifier__n_estimators': 100}",0.894531,0.892188,0.89375,0.901562,0.898438,0.896094,0.003423,55
7.781544,0.331903,0.069591,0.002383,3,2,0.1,150,"{'classifier__estimator__max_depth': 3, 'classifier__estimator__min_samples_split': 2, 'classifier__learning_rate': 0.1, 'classifier__n_estimators': 150}",0.9,0.896094,0.896875,0.905469,0.9,0.899688,0.0033,49
10.583278,0.33808,0.0765,0.000842,3,2,0.1,200,"{'classifier__estimator__max_depth': 3, 'classifier__estimator__min_samples_split': 2, 'classifier__learning_rate': 0.1, 'classifier__n_estimators': 200}",0.901562,0.898438,0.898438,0.905469,0.900781,0.900937,0.002586,46
5.424636,0.283214,0.045774,0.001534,3,2,0.2,100,"{'classifier__estimator__max_depth': 3, 'classifier__estimator__min_samples_split': 2, 'classifier__learning_rate': 0.2, 'classifier__n_estimators': 100}",0.903906,0.901562,0.901562,0.90625,0.90625,0.903906,0.002096,43
7.838759,0.200452,0.079394,0.020616,3,2,0.2,150,"{'classifier__estimator__max_depth': 3, 'classifier__estimator__min_samples_split': 2, 'classifier__learning_rate': 0.2, 'classifier__n_estimators': 150}",0.904688,0.902344,0.903906,0.910938,0.90625,0.905625,0.00294,29
12.269189,0.349932,0.109308,0.029741,3,2,0.2,200,"{'classifier__estimator__max_depth': 3, 'classifier__estimator__min_samples_split': 2, 'classifier__learning_rate': 0.2, 'classifier__n_estimators': 200}",0.903906,0.903125,0.902344,0.909375,0.907031,0.905156,0.002642,31
6.366025,0.227861,0.049881,0.003823,3,2,0.5,100,"{'classifier__estimator__max_depth': 3, 'classifier__estimator__min_samples_split': 2, 'classifier__learning_rate': 0.5, 'classifier__n_estimators': 100}",0.9,0.9,0.901562,0.911719,0.910938,0.904844,0.005331,35
9.021492,0.079991,0.079043,0.011237,3,2,0.5,150,"{'classifier__estimator__max_depth': 3, 'classifier__estimator__min_samples_split': 2, 'classifier__learning_rate': 0.5, 'classifier__n_estimators': 150}",0.900781,0.896094,0.9,0.910938,0.915625,0.904688,0.007345,38
12.281767,0.146186,0.08771,0.003507,3,2,0.5,200,"{'classifier__estimator__max_depth': 3, 'classifier__estimator__min_samples_split': 2, 'classifier__learning_rate': 0.5, 'classifier__n_estimators': 200}",0.898438,0.896875,0.901562,0.910938,0.917188,0.905,0.007806,34
6.022033,0.125212,0.056348,0.007448,3,5,0.1,100,"{'classifier__estimator__max_depth': 3, 'classifier__estimator__min_samples_split': 5, 'classifier__learning_rate': 0.1, 'classifier__n_estimators': 100}",0.894531,0.892188,0.89375,0.901562,0.898438,0.896094,0.003423,55
9.550804,0.16139,0.078539,0.012755,3,5,0.1,150,"{'classifier__estimator__max_depth': 3, 'classifier__estimator__min_samples_split': 5, 'classifier__learning_rate': 0.1, 'classifier__n_estimators': 150}",0.9,0.896094,0.896875,0.905469,0.9,0.899688,0.0033,49
13.94744,0.103629,0.096402,0.011791,3,5,0.1,200,"{'classifier__estimator__max_depth': 3, 'classifier__estimator__min_samples_split': 5, 'classifier__learning_rate': 0.1, 'classifier__n_estimators': 200}",0.901562,0.898438,0.898438,0.905469,0.900781,0.900937,0.002586,46
7.02702,0.244911,0.068441,0.020196,3,5,0.2,100,"{'classifier__estimator__max_depth': 3, 'classifier__estimator__min_samples_split': 5, 'classifier__learning_rate': 0.2, 'classifier__n_estimators': 100}",0.903906,0.901562,0.901562,0.90625,0.90625,0.903906,0.002096,43
9.488756,0.28767,0.071961,0.002835,3,5,0.2,150,"{'classifier__estimator__max_depth': 3, 'classifier__estimator__min_samples_split': 5, 'classifier__learning_rate': 0.2, 'classifier__n_estimators': 150}",0.904688,0.902344,0.903906,0.910938,0.90625,0.905625,0.00294,29
11.692632,0.123374,0.086695,0.003063,3,5,0.2,200,"{'classifier__estimator__max_depth': 3, 'classifier__estimator__min_samples_split': 5, 'classifier__learning_rate': 0.2, 'classifier__n_estimators': 200}",0.903906,0.903125,0.902344,0.909375,0.907031,0.905156,0.002642,31
5.708035,0.068005,0.051026,0.002748,3,5,0.5,100,"{'classifier__estimator__max_depth': 3, 'classifier__estimator__min_samples_split': 5, 'classifier__learning_rate': 0.5, 'classifier__n_estimators': 100}",0.901562,0.9,0.901562,0.9125,0.910156,0.905156,0.005125,33
8.665414,0.164055,0.068109,0.003901,3,5,0.5,150,"{'classifier__estimator__max_depth': 3, 'classifier__estimator__min_samples_split': 5, 'classifier__learning_rate': 0.5, 'classifier__n_estimators': 150}",0.900781,0.896094,0.9,0.9125,0.913281,0.904531,0.007012,41
