iter	Passed	Remaining
408	10736	15513
409	10766	15493
410	10790	15464
411	10813	15432
412	10837	15402
413	10865	15379
414	10887	15347
415	10909	15315
416	10937	15291
417	10960	15260
418	10988	15236
419	11015	15211
420	11033	15174
421	11056	15143
422	11082	15117
423	11107	15089
424	11136	15067
425	11162	15040
426	11184	15008
427	11211	14982
428	11233	14951
429	11260	14926
430	11283	14896
431	11309	14870
432	11336	14844
433	11361	14817
434	11392	14797
435	11421	14774
436	11446	14746
437	11474	14722
438	11498	14693
439	11527	14671
440	11554	14646
441	11578	14617
442	11604	14590
443	11628	14561
444	11657	14539
445	11678	14506
446	11699	14474
447	11725	14447
448	11750	14419
449	11783	14402
450	11810	14376
451	11833	14346
452	11858	14318
453	11887	14296
454	11908	14264
455	11937	14240
456	11968	14220
457	11994	14194
458	12018	14165
459	12042	14136
460	12063	14104
461	12086	14074
462	12107	14042
463	12130	14013
464	12159	13990
465	12184	13962
466	12209	13935
467	12233	13906
468	12259	13880
469	12280	13848
470	12308	13823
471	12336	13800
472	12361	13772
473	12384	13742
474	12411	13718
475	12441	13696
476	12467	13669
477	12497	13647
478	12521	13619
479	12550	13596
480	12571	13564
481	12595	13536
482	12618	13506
483	12642	13478
484	12671	13455
485	12693	13424
486	12724	13403
487	12745	13372
488	12769	13344
489	12797	13320
490	12823	13294
491	12845	13263
492	12872	13238
493	12895	13208
494	12925	13186
495	12961	13170
496	12986	13143
497	13015	13120
498	13044	13096
499	13071	13071
500	13098	13045
501	13123	13018
502	13149	12992
503	13174	12965
504	13200	12938
505	13224	12911
506	13253	12887
507	13279	12861
508	13304	12833
509	13330	12807
510	13357	12782
511	13382	12754
512	13411	12732
513	13437	12705
514	13467	12682
515	13489	12653
516	13517	12628
517	13544	12603
518	13569	12576
519	13596	12550
520	13622	12523
521	13648	12498
522	13676	12473
523	13700	12445
524	13726	12419
525	13751	12392
526	13779	12367
527	13805	12341
528	13833	12317
529	13851	12283
530	13878	12257
531	13907	12234
532	13933	12208
533	13960	12182
534	13984	12154
535	14011	12129
536	14035	12101
537	14060	12074
538	14080	12042
539	14108	12017
540	14131	11989
541	14157	11963
542	14182	11936
543	14209	11910
544	14243	11891
545	14267	11863
546	14292	11836
547	14319	11811
548	14346	11785
549	14370	11757
550	14398	11732
551	14427	11708
552	14455	11684
553	14481	11658
554	14508	11633
555	14538	11609
556	14568	11586
557	14591	11558
558	14613	11528
559	14639	11502
560	14657	11470
561	14674	11437
562	14697	11408
563	14718	11378
564	14741	11349
565	14763	11320
566	14788	11293
567	14813	11266
568	14839	11240
569	14865	11214
570	14891	11188
571	14912	11158
572	14932	11127
573	14958	11101
574	14989	11079
575	15013	11051
576	15038	11024
577	15071	11003
578	15100	10979
579	15122	10950
580	15152	10927
581	15180	10902
582	15209	10878
583	15230	10849
584	15256	10823
585	15286	10799
586	15315	10775
587	15339	10748
588	15364	10721
589	15386	10692
590	15413	10666
591	15439	10640
592	15462	10612
593	15486	10584
594	15520	10564
595	15550	10540
596	15574	10513
597	15598	10486
598	15625	10460
599	15643	10429
600	15665	10400
